dancer_id,artist_id,artist_name,set_attended,Start,End,Duration
6,69,PEEKABOO,65,"2022-09-03 21:45:00","2022-09-03 23:00:00",01:15:00
4,78,"SEVEN LIONS",95,"2022-09-04 20:10:00","2022-09-04 21:10:00",01:00:00
6,84,SUBTRONICS,91,"2022-09-04 19:10:00","2022-09-04 20:10:00",01:00:00
5,84,SUBTRONICS,91,"2022-09-04 19:10:00","2022-09-04 20:10:00",01:00:00
4,84,SUBTRONICS,91,"2022-09-04 19:10:00","2022-09-04 20:10:00",01:00:00
6,88,"SVDDEN DEATH",61,"2022-09-03 20:30:00","2022-09-03 21:45:00",01:15:00
1,93,"TRUTH X LIES",76,"2022-09-04 15:00:00","2022-09-04 16:00:00",01:00:00
5,96,"WAX MOTIF",20,"2022-09-02 19:30:00","2022-09-02 20:30:00",01:00:00
2,96,"WAX MOTIF",20,"2022-09-02 19:30:00","2022-09-02 20:30:00",01:00:00
1,96,"WAX MOTIF",20,"2022-09-02 19:30:00","2022-09-02 20:30:00",01:00:00
5,98,"WILL CLARKE",56,"2022-09-03 19:00:00","2022-09-03 20:15:00",01:15:00
4,98,"WILL CLARKE",56,"2022-09-03 19:00:00","2022-09-03 20:15:00",01:15:00
2,98,"WILL CLARKE",56,"2022-09-03 19:00:00","2022-09-03 20:15:00",01:15:00
1,98,"WILL CLARKE",56,"2022-09-03 19:00:00","2022-09-03 20:15:00",01:15:00
